ID,Session,BackgroundContrast,Background,Side,SmallRingIdx,Setting,logBackC,logBC,logAM
S3,1,,-80,-1,1,-25,1.903089987,-1.903089987,1.397940009
S3,1,,-80,1,2,-13,1.903089987,-1.903089987,1.113943352
S3,2,,-80,-1,1,-25,1.903089987,-1.903089987,1.397940009
S3,2,,-80,1,2,-10,1.903089987,-1.903089987,1
S3,3,,-80,-1,1,-23,1.903089987,-1.903089987,1.361727836
S3,3,,-80,1,2,-14,1.903089987,-1.903089987,1.146128036
S3,4,,-80,-1,1,-25,1.903089987,-1.903089987,1.397940009
S3,4,,-80,1,2,-8,1.903089987,-1.903089987,0.903089987
S3,5,,-80,-1,1,3,1.903089987,-1.903089987,0.477121255
S3,5,,-80,1,2,-8,1.903089987,-1.903089987,0.903089987
S3,6,,-80,-1,1,-6,1.903089987,-1.903089987,0.77815125
S3,6,,-80,1,2,-10,1.903089987,-1.903089987,1
S3,7,,-80,-1,1,-14,1.903089987,-1.903089987,1.146128036
S3,7,,-80,1,2,-15,1.903089987,-1.903089987,1.176091259
S3,8,,-80,-1,1,-17,1.903089987,-1.903089987,1.230448921
S3,8,,-80,1,2,-7,1.903089987,-1.903089987,0.84509804
S3,9,,-80,-1,1,-13,1.903089987,-1.903089987,1.113943352
S3,9,,-80,1,2,-5,1.903089987,-1.903089987,0.698970004
S3,10,,-80,-1,1,-34,1.903089987,-1.903089987,1.531478917
S3,10,,-80,1,2,-38,1.903089987,-1.903089987,1.579783597
S3,11,,-80,-1,1,-12,1.903089987,-1.903089987,1.079181246
S3,11,,-80,1,2,-28,1.903089987,-1.903089987,1.447158031
S3,12,,-80,-1,1,-10,1.903089987,-1.903089987,1
S3,12,,-80,1,2,-11,1.903089987,-1.903089987,1.041392685
S3,1,,-70,-1,1,-18,1.84509804,-1.84509804,1.255272505
S3,1,,-70,1,2,4,1.84509804,-1.84509804,0.602059991
S3,2,,-70,-1,1,-26,1.84509804,-1.84509804,1.414973348
S3,2,,-70,1,2,-16,1.84509804,-1.84509804,1.204119983
S3,3,,-70,-1,1,-29,1.84509804,-1.84509804,1.462397998
S3,3,,-70,1,2,-16,1.84509804,-1.84509804,1.204119983
S3,4,,-70,-1,1,-9,1.84509804,-1.84509804,0.954242509
S3,4,,-70,1,2,-14,1.84509804,-1.84509804,1.146128036
S3,5,,-70,-1,1,-11,1.84509804,-1.84509804,1.041392685
S3,5,,-70,1,2,-8,1.84509804,-1.84509804,0.903089987
S3,6,,-70,-1,1,-14,1.84509804,-1.84509804,1.146128036
S3,6,,-70,1,2,-18,1.84509804,-1.84509804,1.255272505
S3,7,,-70,-1,1,-10,1.84509804,-1.84509804,1
